gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000042286.15,584.4772590449313,-0.721857067962637,0.09413329305627008,-7.66845655267932,1.740783058415129e-14,2.1748516972976352e-12,AIFM2
ENSG00000104756.17,1596.2626969418575,-0.8418686230919313,0.10980036650674121,-7.667266056350045,1.7570108479058523e-14,2.1794464560523593e-12,KCTD9
ENSG00000152332.16,2974.056031513272,-0.6616781042719992,0.08643156543729927,-7.6555145209305,1.9253979061752246e-14,2.3713801445843225e-12,UHMK1
ENSG00000049246.15,209.48819610941575,2.2303965057842046,0.29173428565288956,7.645301274043492,2.084566672680569e-14,2.5493369604063917e-12,PER3
ENSG00000136999.5,411.641504318698,2.5347069727715414,0.3334666392990028,7.601081109942147,2.936669679811286e-14,3.5663080880841116e-12,CCN3
ENSG00000169744.13,686.1212457077794,1.3240560989204062,0.17523190241377204,7.5560219382537746,4.1558378152201255e-14,5.01182496521616e-12,LDB2
ENSG00000119139.21,162.34952719045555,-1.8207742736619639,0.24113934459434386,-7.550714201056478,4.328778167842588e-14,5.1843835629485785e-12,TJP2
ENSG00000182010.11,118.31004658616753,1.8786516280140781,0.2513468876483952,7.474338137188678,7.759338778588018e-14,9.229361454038323e-12,RTKN2
ENSG00000164105.4,527.9198958257311,-1.2411253824091775,0.16651238142638844,-7.453652225602529,9.079113115710555e-14,1.0725706011389761e-11,SAP30
ENSG00000116001.17,1365.2521744078058,0.5056727382834492,0.06810790827010105,7.42458183090959,1.1313677951678109e-13,1.3275225088435273e-11,TIA1
ENSG00000102804.16,4967.89231542231,-1.2007748293913665,0.1618641848113455,-7.418409642570918,1.1853500111695026e-13,1.3815294157026565e-11,TSC22D1
ENSG00000183508.5,89.75925078136994,2.458650771478681,0.331993318064967,7.405723662780325,1.3043719595575144e-13,1.510114896645053e-11,TENT5C
ENSG00000181826.10,381.9846543050128,-1.1230257856557149,0.15168520942883204,-7.403660448401321,1.3248091710033456e-13,1.5236182823605364e-11,RELL1
ENSG00000177614.11,139.81344177051105,2.470368565941037,0.3351936579933249,7.369974064336958,1.7066123493524327e-13,1.9498046091351543e-11,PGBD5
